ICES_FileID,ICES_HaulID,ICES_MeasurementID,RecordType,HaulID,Species,ELSampleFlag,IndividualNumber,Length,DevScale,DevStage,Number,SubFactor,SpecIdentMethod,OilGlobulesFlag,OilGlobulesNumber,OilGlobulesDiam,PreservationMethod,Notes
13998,1557942,8711190,EM,1992DK_031,Clupea harengus,LV,,26,,,5,1,,,,,,
13998,1557942,8711191,EM,1992DK_031,Clupea harengus,LV,,27,,,4,1,,,,,,
13998,1557942,8711192,EM,1992DK_031,Clupea harengus,LV,,28,,,8,1,,,,,,
13998,1557942,8711193,EM,1992DK_031,Clupea harengus,LV,,29,,,6,1,,,,,,
13998,1557942,8711194,EM,1992DK_031,Clupea harengus,LV,,30,,,11,1,,,,,,
13998,1557942,8711195,EM,1992DK_031,Clupea harengus,LV,,31,,,6,1,,,,,,
13998,1557942,8711196,EM,1992DK_031,Clupea harengus,LV,,32,,,4,1,,,,,,
13998,1557942,8711197,EM,1992DK_031,Clupea harengus,LV,,33,,,2,1,,,,,,
13998,1557943,8711198,EM,1992DK_032,Clupea harengus,LV,,24,,,1,1,,,,,,
13998,1557943,8711199,EM,1992DK_032,Clupea harengus,LV,,25,,,1,1,,,,,,
13998,1557943,8711200,EM,1992DK_032,Clupea harengus,LV,,26,,,5,1,,,,,,
13998,1557943,8711201,EM,1992DK_032,Clupea harengus,LV,,27,,,11,1,,,,,,
13998,1557943,8711202,EM,1992DK_032,Clupea harengus,LV,,28,,,11,1,,,,,,
13998,1557943,8711203,EM,1992DK_032,Clupea harengus,LV,,29,,,11,1,,,,,,
13998,1557943,8711204,EM,1992DK_032,Clupea harengus,LV,,30,,,8,1,,,,,,
13998,1557943,8711205,EM,1992DK_032,Clupea harengus,LV,,31,,,16,1,,,,,,
13998,1557943,8711206,EM,1992DK_032,Clupea harengus,LV,,32,,,1,1,,,,,,
13998,1557943,8711207,EM,1992DK_032,Clupea harengus,LV,,33,,,1,1,,,,,,
13998,1557944,8711208,EM,1992DK_033,Clupea harengus,LV,,21,,,1,1,,,,,,
13998,1557944,8711209,EM,1992DK_033,Clupea harengus,LV,,24,,,1,1,,,,,,
13998,1557944,8711210,EM,1992DK_033,Clupea harengus,LV,,27,,,1,1,,,,,,
13998,1557944,8711211,EM,1992DK_033,Clupea harengus,LV,,28,,,3,1,,,,,,
13998,1557944,8711212,EM,1992DK_033,Clupea harengus,LV,,29,,,1,1,,,,,,
13998,1557944,8711213,EM,1992DK_033,Clupea harengus,LV,,30,,,5,1,,,,,,
13998,1557944,8711214,EM,1992DK_033,Clupea harengus,LV,,31,,,4,1,,,,,,
13998,1557944,8711215,EM,1992DK_033,Clupea harengus,LV,,32,,,4,1,,,,,,
13998,1557944,8711216,EM,1992DK_033,Clupea harengus,LV,,33,,,2,1,,,,,,
13998,1557945,8711217,EM,1992DK_034,Clupea harengus,LV,,21,,,1,1,,,,,,
13998,1557945,8711218,EM,1992DK_034,Clupea harengus,LV,,24,,,2,1,,,,,,
13998,1557945,8711219,EM,1992DK_034,Clupea harengus,LV,,25,,,3,1,,,,,,
13998,1557945,8711220,EM,1992DK_034,Clupea harengus,LV,,26,,,2,1,,,,,,
13998,1557945,8711221,EM,1992DK_034,Clupea harengus,LV,,28,,,1,1,,,,,,
13998,1557945,8711222,EM,1992DK_034,Clupea harengus,LV,,29,,,1,1,,,,,,
13998,1557945,8711223,EM,1992DK_034,Clupea harengus,LV,,30,,,2,1,,,,,,
13998,1557945,8711224,EM,1992DK_034,Clupea harengus,LV,,31,,,2,1,,,,,,
13998,1557945,8711225,EM,1992DK_034,Clupea harengus,LV,,32,,,3,1,,,,,,
13998,1557945,8711226,EM,1992DK_034,Clupea harengus,LV,,33,,,5,1,,,,,,
13998,1557945,8711227,EM,1992DK_034,Clupea harengus,LV,,34,,,1,1,,,,,,
13998,1557945,8711228,EM,1992DK_034,Clupea harengus,LV,,35,,,4,1,,,,,,
13998,1557945,8711229,EM,1992DK_034,Clupea harengus,LV,,36,,,3,1,,,,,,
13998,1557945,8711230,EM,1992DK_034,Clupea harengus,LV,,37,,,2,1,,,,,,
13998,1557946,8711231,EM,1992DK_035,Clupea harengus,LV,,24,,,1,1,,,,,,
13998,1557946,8711232,EM,1992DK_035,Clupea harengus,LV,,25,,,1,1,,,,,,
13998,1557946,8711233,EM,1992DK_035,Clupea harengus,LV,,26,,,4,1,,,,,,
13998,1557946,8711234,EM,1992DK_035,Clupea harengus,LV,,27,,,3,1,,,,,,
13998,1557946,8711235,EM,1992DK_035,Clupea harengus,LV,,28,,,3,1,,,,,,
13998,1557946,8711236,EM,1992DK_035,Clupea harengus,LV,,29,,,5,1,,,,,,
13998,1557946,8711237,EM,1992DK_035,Clupea harengus,LV,,30,,,3,1,,,,,,
13998,1557946,8711238,EM,1992DK_035,Clupea harengus,LV,,31,,,10,1,,,,,,
13998,1557946,8711239,EM,1992DK_035,Clupea harengus,LV,,32,,,8,1,,,,,,
13998,1557946,8711240,EM,1992DK_035,Clupea harengus,LV,,33,,,6,1,,,,,,
13998,1557946,8711241,EM,1992DK_035,Clupea harengus,LV,,34,,,4,1,,,,,,
13998,1557946,8711242,EM,1992DK_035,Clupea harengus,LV,,35,,,2,1,,,,,,
13998,1557946,8711243,EM,1992DK_035,Clupea harengus,LV,,36,,,1,1,,,,,,
13998,1557946,8711244,EM,1992DK_035,Clupea harengus,LV,,37,,,1,1,,,,,,
13998,1557947,8711245,EM,1992DK_036,Clupea harengus,LV,,22,,,1,1,,,,,,
13998,1557947,8711246,EM,1992DK_036,Clupea harengus,LV,,23,,,1,1,,,,,,
13998,1557947,8711247,EM,1992DK_036,Clupea harengus,LV,,24,,,2,1,,,,,,
13998,1557947,8711248,EM,1992DK_036,Clupea harengus,LV,,27,,,1,1,,,,,,
13998,1557947,8711249,EM,1992DK_036,Clupea harengus,LV,,29,,,3,1,,,,,,
13998,1557947,8711250,EM,1992DK_036,Clupea harengus,LV,,30,,,2,1,,,,,,
13998,1557947,8711251,EM,1992DK_036,Clupea harengus,LV,,33,,,2,1,,,,,,
13998,1557947,8711252,EM,1992DK_036,Clupea harengus,LV,,34,,,1,1,,,,,,
13998,1557947,8711253,EM,1992DK_036,Clupea harengus,LV,,35,,,3,1,,,,,,
13998,1557947,8711254,EM,1992DK_036,Clupea harengus,LV,,36,,,2,1,,,,,,
13998,1557947,8711255,EM,1992DK_036,Clupea harengus,LV,,37,,,4,1,,,,,,
13998,1557948,8711256,EM,1992DK_037,Clupea harengus,LV,,35,,,1,1,,,,,,
13998,1557948,8711257,EM,1992DK_037,Clupea harengus,LV,,36,,,1,1,,,,,,
13998,1557948,8711258,EM,1992DK_037,Clupea harengus,LV,,37,,,2,1,,,,,,
13998,1557948,8711259,EM,1992DK_037,Clupea harengus,LV,,38,,,1,1,,,,,,
13998,1557949,8711260,EM,1992DK_038,Clupea harengus,LV,,36,,,1,1,,,,,,
13998,1557949,8711261,EM,1992DK_038,Clupea harengus,LV,,37,,,7,1,,,,,,
